Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Memo
2026/3/28,4,表,2,1,1,-,-,-,入口貴仁,金沢大学,野中脩平,右,ストレート,,1,,見逃し,,,,,0,0,
2026/3/28,4,表,2,2,1,-,-,-,入口貴仁,金沢大学,野中脩平,右,ストレート,,12,,ファウル,,,,,0,0,
2026/3/28,4,表,2,2,1,-,-,-,入口貴仁,金沢大学,野中脩平,右,チェンジアップ,,12,,ボール,,,,,0,0,
2026/3/28,4,表,3,2,1,-,-,-,入口貴仁,金沢大学,野中脩平,右,ストレート,,7,,見逃し,見逃し三振,,,,1,0,
2026/3/28,4,表,0,0,2,-,-,-,入口貴仁,金沢大学,矢口敬大,右,チェンジアップ,,14,,ボール,,,,,0,0,
2026/3/28,4,表,1,0,2,-,-,-,入口貴仁,金沢大学,矢口敬大,右,カーブ,,11,,ファウル,,,,,0,0,
2026/3/28,4,表,1,1,2,-,-,-,入口貴仁,金沢大学,矢口敬大,右,カーブ,,8,,ファウル,,,,,0,0,
2026/3/28,4,表,1,2,2,-,-,-,入口貴仁,金沢大学,矢口敬大,右,ストレート,,13,,ボール,,,,,0,0,
2026/3/28,4,表,2,2,2,-,-,-,入口貴仁,金沢大学,矢口敬大,右,カーブ,,5,,インプレー,,単打,ゴロ,左翼手,0,0,
2026/3/28,4,表,0,0,2,○,-,-,入口貴仁,金沢大学,山岸 拓登,右,,,,,ボール,,,,,0,0,
2026/3/28,4,表,1,0,2,○,-,-,入口貴仁,金沢大学,山岸 拓登,右,ストレート,,2,,ファウル,,,,,0,0,
2026/3/28,4,表,1,1,2,○,-,-,入口貴仁,金沢大学,山岸 拓登,右,ストレート,,6,,空振り,,,,,0,0,
2026/3/28,4,表,1,2,2,○,-,-,入口貴仁,金沢大学,山岸 拓登,右,カーブ,,9,,インプレー,,アウト,ゴロ,投手,1,0,
2026/3/28,4,裏,0,0,0,-,-,-,河中 周,富山大学,鍛冶陽斗,右,ストレート,,12,,ボール,,,,,0,0,
2026/3/28,4,裏,1,0,0,-,-,-,河中 周,富山大学,鍛冶陽斗,右,ストレート,,9,,インプレー,,アウト,ライナー,二塁手,1,0,
2026/3/28,4,裏,0,0,1,-,-,-,河中 周,富山大学,加納誠琉,右,スライダー,,8,,ファウル,,,,,0,0,
2026/3/28,4,裏,0,1,1,-,-,-,河中 周,富山大学,加納誠琉,右,ストレート,,3,,見逃し,,,,,0,0,
2026/3/28,4,裏,0,2,1,-,-,-,河中 周,富山大学,加納誠琉,右,カーブ,,1,,インプレー,,アウト,フライ,二塁手,1,0,
2026/3/28,4,裏,0,0,2,-,-,-,河中 周,富山大学,越野虎次郎,右,スライダー,,11,,ボール,,,,,0,0,
2026/3/28,4,裏,1,0,2,-,-,-,河中 周,富山大学,越野虎次郎,右,カーブ,,14,,ボール,,,,,0,0,
2026/3/28,4,裏,2,0,2,-,-,-,河中 周,富山大学,越野虎次郎,右,ストレート,,11,,ボール,,,,,0,0,
2026/3/28,4,裏,3,0,2,-,-,-,河中 周,富山大学,越野虎次郎,右,ストレート,,4,,インプレー,,単打,フライ,中堅手,0,0,
2026/3/28,4,裏,0,0,2,○,-,-,河中 周,富山大学,山本悠真,右,ストレート,,14,,ボール,,,,,0,0,
2026/3/28,4,裏,1,0,2,○,-,-,河中 周,富山大学,山本悠真,右,ストレート,,14,,ボール,,,,,0,0,
2026/3/28,4,裏,2,0,2,○,-,-,河中 周,富山大学,山本悠真,右,ストレート,,3,,インプレー,,アウト,ゴロ,二塁手,1,0,
2026/3/28,5,表,0,0,0,-,-,-,入口貴仁,金沢大学,宇治野慶翔,左,ストレート,,7,,見逃し,,,,,0,0,
2026/3/28,5,表,0,1,0,-,-,-,入口貴仁,金沢大学,宇治野慶翔,左,ストレート,,13,,ボール,,,,,0,0,
2026/3/28,5,表,1,1,0,-,-,-,入口貴仁,金沢大学,宇治野慶翔,左,ストレート,,13,,ボール,,,,,0,0,
2026/3/28,5,表,2,1,0,-,-,-,入口貴仁,金沢大学,宇治野慶翔,左,ストレート,,3,,ファウル,,,,,0,0,
2026/3/28,5,表,2,2,0,-,-,-,入口貴仁,金沢大学,宇治野慶翔,左,ストレート,,1,,見逃し,見逃し三振,,,,1,0,
2026/3/28,5,表,0,0,1,-,-,-,入口貴仁,金沢大学,中野栞汰,左,カーブ,,2,,見逃し,,,,,0,0,
2026/3/28,5,表,0,1,1,-,-,-,入口貴仁,金沢大学,中野栞汰,左,ストレート,,14,,ボール,,,,,0,0,
2026/3/28,5,表,1,1,1,-,-,-,入口貴仁,金沢大学,中野栞汰,左,ストレート,,1,,見逃し,,,,,0,0,
2026/3/28,5,表,1,2,1,-,-,-,入口貴仁,金沢大学,中野栞汰,左,チェンジアップ,,13,,ボール,,,,,0,0,
2026/3/28,5,表,2,2,1,-,-,-,入口貴仁,金沢大学,中野栞汰,左,ストレート,,11,,ボール,,,,,0,0,
2026/3/28,5,表,3,2,1,-,-,-,入口貴仁,金沢大学,中野栞汰,左,ストレート,,9,,ファウル,,,,,0,0,
2026/3/28,5,表,3,2,1,-,-,-,入口貴仁,金沢大学,中野栞汰,左,ストレート,,8,,インプレー,,アウト,ゴロ,遊撃手,1,0,
2026/3/28,5,表,0,0,2,-,-,-,入口貴仁,金沢大学,大野 康太,左,ストレート,,1,,見逃し,,,,,0,0,
2026/3/28,5,表,0,1,2,-,-,-,入口貴仁,金沢大学,大野 康太,左,カーブ,,13,,ボール,,,,,0,0,
2026/3/28,5,表,1,1,2,-,-,-,入口貴仁,金沢大学,大野 康太,左,チェンジアップ,,5,,空振り,,,,,0,0,
2026/3/28,5,表,1,2,2,-,-,-,入口貴仁,金沢大学,大野 康太,左,ストレート,,5,,ファウル,,,,,0,0,
2026/3/28,5,表,1,2,2,-,-,-,入口貴仁,金沢大学,大野 康太,左,カーブ,,13,,ボール,,,,,0,0,
2026/3/28,5,表,2,2,2,-,-,-,入口貴仁,金沢大学,大野 康太,左,ストレート,,12,,インプレー,,アウト,ゴロ,二塁手,1,0,
2026/3/28,5,裏,0,0,0,-,-,-,河中 周,富山大学,淀川理久,左,スライダー,,4,,見逃し,,,,,0,0,
2026/3/28,5,裏,0,1,0,-,-,-,河中 周,富山大学,淀川理久,左,スライダー,,4,,空振り,,,,,0,0,
2026/3/28,5,裏,0,2,0,-,-,-,河中 周,富山大学,淀川理久,左,ストレート,,2,,ファウル,,,,,0,0,
2026/3/28,5,裏,0,2,0,-,-,-,河中 周,富山大学,淀川理久,左,ストレート,,12,,ボール,,,,,0,0,
2026/3/28,5,裏,1,2,0,-,-,-,河中 周,富山大学,淀川理久,左,スライダー,,14,,ボール,,,,,0,0,
2026/3/28,5,裏,2,2,0,-,-,-,河中 周,富山大学,淀川理久,左,ストレート,,12,,ボール,,,,,0,0,
2026/3/28,5,裏,3,2,0,-,-,-,河中 周,富山大学,淀川理久,左,ストレート,,9,,ファウル,,,,,0,0,
2026/3/28,5,裏,3,2,0,-,-,-,河中 周,富山大学,淀川理久,左,スライダー,,14,,ボール,四球,,,,0,0,
2026/3/28,5,裏,0,0,0,○,-,-,河中 周,富山大学,渡辺健太郎,右,ストレート,,14,,ボール,,,,,0,0,
2026/3/28,5,裏,1,0,0,○,-,-,河中 周,富山大学,渡辺健太郎,右,ストレート,,3,,ファウル,,,,,0,0,
2026/3/28,5,裏,1,1,0,○,-,-,河中 周,富山大学,渡辺健太郎,右,スライダー,,14,,ボール,,,,,0,0,
2026/3/28,5,裏,2,1,0,○,-,-,河中 周,富山大学,渡辺健太郎,右,ストレート,,5,,インプレー,,犠打,ゴロ,投手,1,0,
2026/3/28,5,裏,0,0,1,-,○,-,河中 周,富山大学,山本優人,右,スライダー,,2,,インプレー,,エラー,ゴロ,遊撃手,0,1,
2026/3/28,5,裏,0,0,1,-,○,-,河中 周,富山大学,竹田龍汰,右,ストレート,,3,,インプレー,,アウト,フライ,左翼手,1,0,
2026/3/28,5,裏,0,0,2,-,○,-,河中 周,富山大学,石浦吉人,左,ストレート,,6,,見逃し,,,,,0,0,
2026/3/28,5,裏,0,1,2,-,○,-,河中 周,富山大学,石浦吉人,左,ストレート,,12,,ボール,,,,,0,0,
2026/3/28,5,裏,1,1,2,-,○,-,河中 周,富山大学,石浦吉人,左,ストレート,,4,,ファウル,,,,,0,0,
2026/3/28,5,裏,1,2,2,-,○,-,河中 周,富山大学,石浦吉人,左,ストレート,,14,,ボール,,,,,0,0,
2026/3/28,5,裏,2,2,2,-,○,-,河中 周,富山大学,石浦吉人,左,カーブ,,14,,ボール,,,,,0,0,
2026/3/28,5,裏,3,2,2,-,○,-,河中 周,富山大学,石浦吉人,左,ストレート,,9,,空振り,空振り三振,,,,1,0,
2026/3/28,6,表,0,0,0,-,-,-,入口貴仁,金沢大学,水船寛太,左,ストレート,,8,,インプレー,,アウト,ゴロ,二塁手,1,0,
2026/3/28,6,表,0,0,1,-,-,-,入口貴仁,金沢大学,松原一汰,右,,,,,ボール,,,,,0,0,
2026/3/28,6,表,1,0,1,-,-,-,入口貴仁,金沢大学,松原一汰,右,,,,,ファウル,,,,,0,0,
2026/3/28,6,表,1,1,1,-,-,-,入口貴仁,金沢大学,松原一汰,右,,,,,ボール,,,,,0,0,
2026/3/28,6,表,2,1,1,-,-,-,入口貴仁,金沢大学,松原一汰,右,ストレート,,7,,インプレー,,アウト,ゴロ,遊撃手,1,0,
2026/3/28,6,表,0,0,2,-,-,-,入口貴仁,金沢大学,桝田宇琉,右,ツーシーム,,7,,見逃し,,,,,0,0,
2026/3/28,6,表,0,1,2,-,-,-,入口貴仁,金沢大学,桝田宇琉,右,チェンジアップ,,13,,ボール,,,,,0,0,
2026/3/28,6,表,1,1,2,-,-,-,入口貴仁,金沢大学,桝田宇琉,右,カーブ,,14,外角,空振り,,,,,0,0,
2026/3/28,6,表,1,2,2,-,-,-,入口貴仁,金沢大学,桝田宇琉,右,ツーシーム,,12,,インプレー,,アウト,ゴロ,三塁手,1,0,
2026/3/28,6,裏,0,0,0,-,-,-,吉田唯登,富山大学,鍛冶陽斗,右,ストレート,,11,,ボール,,,,,0,0,
2026/3/28,6,裏,1,0,0,-,-,-,吉田唯登,富山大学,鍛冶陽斗,右,ストレート,,8,,インプレー,,アウト,ゴロ,遊撃手,1,0,
